Name,2NDTAG,3RDTAG,Agency,Agent notes for human,Area1,Area2,Artifacts,Contact person,Description,Email,Events,Funding Opportunities,Human notes for agent,LinkedIn,Memes,NewsletterScraper (CA),Ontology,Ontology Tags,Phone number,Projects & Areas,Public Email,SAP,Website,related programs and initiatives
La Dinamo,,,org,,,,,,,,,,,,,,,,,,info@ladinamofundacio.org,,https://ladinamofundacio.org/,
Bloc4BCN,CATBIS,,"network/ecosystem, org, space",Added CATBIS: clear Barcelona cooperative/social-economy ecosystem infrastructure. No collaboration status inferred.,"Ops in Catalunya, catalan",Baix Llobregat,,,"Barcelona cooperative hub and public-cooperative project supporting cooperatives and social and solidarity economy initiatives with workspace, training, incubation, and ecosystem connection.",,,,,,Eco Social Transition,,"Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21)",cooperative hub; social and solidarity economy; incubation; workspace; cooperative training; Barcelona,,,info@bloc4.coop,"Barcelona cooperative hub and public-cooperative project providing workspace, training, incubation, and ecosystem connection for cooperatives and social and solidarity economy initiatives. Relevant to CATBIS as strong local infrastructure for cooperative enterprise, social economy, learning, incubation, and ecosocial transition in Catalunya.",https://bloc4.coop/,
Goteo,,,org,,,,,,,,,,,,,,,,,,,,https://goteo.org/,
Ship2B Foundation,CATBIS,,"funder, network/ecosystem, org","Reviewed for RCSH: strong impact/finance ecosystem role, but CATBIS relevance should be confirmed according to specific regenerative/environmental portfolio connections. No collaboration status inferred.","Ops in Catalunya, Ops in Spain, catalan",regional,,,"Barcelona-based foundation and impact-investing ecosystem builder supporting startups and organizations that address social and environmental challenges through acceleration, investment, and cross-sector collaboration.",,,,,,"Eco Social Transition, Impact Investing",,"Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), Grants_Programs (https://app.notion.com/p/Grants_Programs-3331441510e18166b8a7ffb8c528af98?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",impact investing; venture philanthropy; startup acceleration; social innovation; environmental impact; Barcelona; ecosystem building,,,,"Catalan impact and venture-philanthropy ecosystem actor supporting social/environmental startups, impact investment, acceleration and cross-sector innovation. Relevant to CATBIS as finance and venture-cultivation infrastructure for regenerative, climate, social-impact and ecosystem-transition initiatives in Catalunya, though specific CATBIS thematic fit should be reviewed per portfolio.",https://www.ship2b.org/,
Eixarcolant,"CATBIS, wanna collaborate with",,org,"Ontology relation filled for seeds/nurseries, traditional ecological knowledge, community food access, regenerative/agroecological production, citizen science, network weaving and learning programs.","Ops in Catalunya, catalan","Anoia, Catalunya Central, regional",,,"Non-profit cooperative (Cooperativa Eixarcolant, SCCL) based in Jorba (Anoia, Catalunya Central), founded in 2016, working to recover and reintroduce wild edible plants and traditional agricultural varieties as a lever for transforming the agri-food system toward a more sustainable, healthy, and just model. Its name comes from the Catalan word for hand-weeding — reclaiming so-called ""weeds"" as valuable resources. Core work spans ethnobotanical prospection and oral history gathering; a seed bank of 400+ entries of wild and traditional varieties; seed and seedling commercialisation; consumer and producer education; and a network of territorial nodes across Catalunya. Organises annual events including the Jornada Gastronòmica de les Plantes Oblidades (Gastronomy Day of Forgotten Plants), ethnobotany film screenings, and hands-on workshops. Has collaborated with the Centro Nacional de Recursos Fitogenéticos to repatriate and recultivate traditional varieties from central Catalunya that had been preserved off-site for decades. Also runs the SINGULARS project, a coalition of 200+ people and organisations to normalise the consumption of local, healthy, affordable food while supporting local farming and trade.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",Registered,"Seeds_and_Nurseries (https://app.notion.com/p/Seeds_and_Nurseries-3331441510e1810da06fe334de5c94c3?pvs=21), Traditional_Ecological_Knowledge (https://app.notion.com/p/Traditional_Ecological_Knowledge-3331441510e181259b3ad2370358bb34?pvs=21), Community_Food_Access (https://app.notion.com/p/Community_Food_Access-3331441510e1817daf1efe81df7ef31c?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Citizen_or_Community_Science (https://app.notion.com/p/Citizen_or_Community_Science-3331441510e18139bf23e5d54ba36cbe?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21)",wild edible plants; ethnobotany; seed bank; traditional varieties; agri-food transition; food sovereignty; agroecology; Anoia; Catalunya Central,,,info@eixarcolant.cat,"Based in Jorba (Anoia), operations Catalunya-wide with a focus on Catalunya Central (Anoia, Urgell, Noguera). Bioregionalism, regeneration, ecosocial transition. Seed conservation and nursery; traditional ecological knowledge recovery through ethnobotanical fieldwork; regenerative and agroecological agriculture; community food access and food sovereignty; learning programmes and popular education; citizen science; territorial network weaving through local nodes and annual events.",https://eixarcolant.cat/,
Grup de Defensa del Ter (GDT) ,,,org,,,,,,,,,,,,,,,,,,gdter@gdter.org,,https://www.gdter.org/,
Bloom Network,"CATBIS, bioreg",,"network/ecosystem, org","Added CATBIS while preserving existing bioreg tag. Strong regenerative network relevance, but Catalunya-specific connection should be checked.",international,regional,,,"Global local-first social network and community infrastructure connecting regenerative projects, local chapters, and grassroots climate/community action.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21)",regenerative network; local chapters; community action; bioregionalism,,,,"Global local-first social network and community infrastructure connecting regenerative projects, local chapters, and grassroots climate/community action. Relevant to CATBIS as a reference network for bioregional organizing, local chapters, community action, and regenerative project coordination, though Catalunya-specific relevance should be confirmed.",https://bloomnetwork.earth/,
PLATAFORMA POR EL RÍO SIURANA,,,org,,,,,,,,,,,,,,,,,,,,https://riusiuranaviu.wordpress.com/,
Pam a Pam,,,org,,,,,,,,,,,,,,,,,,hola@pamapam.cat,,pamapam.cat,
Catalunya Clusters Ecosystem,CATBIS,,network/ecosystem,"Ontology relation filled for cluster/ecosystem mapping, network weaving, hub role, venture cultivation, value-chain development and systems mapping. Keep human review because relevance depends on specific regenerative/circular/bioeconomy cluster links.","Ops in Catalunya, catalan",regional,,,"Internal ecosystem placeholder for Catalunya’s cluster ecosystem: sectoral business and innovation clusters that may connect to bioeconomy, circular economy, food systems, energy, and territorial transition.",,,,,,"Bioeconomy, Eco Social Transition",,"Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21)",clusters; Catalan ecosystem; innovation ecosystem; sector networks; bioeconomy; circular economy,,,,Potential CATBIS ecosystem-level container for tracking cluster organizations and sectoral innovation infrastructure in Catalunya. Relevance depends on links to regenerative/circular/bioeconomy sectors rather than all clusters generally.,,
Som Ecosystem,"CATBIS, wanna collaborate with",,network/ecosystem,"Reviewed for RCSH: appears to be an internal ecosystem/container row, not a single organization. Needs human/source check and possible clarification of scope.","Ops in Catalunya, catalan",regional,,,"Internal ecosystem/container row for the Som / social-economy cooperative ecosystem in Catalunya, likely grouping cooperative, commons, and solidarity-economy actors connected to ecosocial transition.",,,,,,Eco Social Transition,,"Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21)",cooperative ecosystem; social and solidarity economy; commons; Catalan ecosystem; Som; ecosocial transition,,,,"Potential CATBIS ecosystem-level container for mapping Som-linked cooperative/social-economy infrastructure in Catalunya. Relevant if used to group actors in cooperative finance, energy, housing, culture, food, and commons-based ecosocial transition; should be human-reviewed because it is not a single external actor.",,
La Casa dels Futurs,CATBIS,,"network/ecosystem, org, space","Ontology relation filled for movement/learning hub, learning programs, network weaving, participatory planning, advocacy and commons governance.","Ops in Catalunya, catalan",regional,,,"Barcelona climate justice project working to create long-term physical, social, and educational infrastructure, including a Climate Justice Center and Movement School for social and ecological movements.",,,,,,"Eco Social Transition, Regeneration",,"Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21)",climate justice; movement school; ecosocial transition; urban commons; mutual aid; social movements; Barcelona,,,hello@casafuturs.org,"Barcelona climate-justice and movement-infrastructure project creating physical, educational, and social space for ecosocial transition. Relevant to CATBIS as urban movement infrastructure for climate justice, community resilience, mutual aid, political education, and regenerative/ecosocial organizing in Catalunya.",https://www.casafuturs.org,
Adrià,,,ind,"Needs review: only first name is available, with no email, website, LinkedIn, body context, or affiliation. Kept as individual (ind) and left enrichment fields empty until more context is available.",,,,,Individual contact named Adrià. Insufficient public/contextual information available to identify affiliation or role confidently.,,,,,,,,,,,,,,,
Circular Economy Catalan Ecosystem,CATBIS,,network/ecosystem,"Ontology relation filled for circular materials, value chains, regional sourcing, systems/resource mapping and hub/container role. Keep human review because this is an ecosystem placeholder.","Ops in Catalunya, catalan",regional,,,"Internal ecosystem placeholder for Catalunya’s circular economy field: actors, hubs, cooperatives, companies, public programs, and innovation initiatives working on circular production and consumption.",,,,,,"Bioeconomy, Eco Social Transition",,"Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Regional_Sourcing (https://app.notion.com/p/Regional_Sourcing-3331441510e181fa86cfe532fb8c7876?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",circular economy; Catalan ecosystem; circular production; circular consumption; materials; industrial transition,,,,"Useful CATBIS ecosystem-level container for mapping circular-economy infrastructure in Catalunya. Relevant to bioeconomy, industrial transition, waste/material loops, cooperative production, urban sustainability, and regenerative economic models.",,
European Forest Institute,"CATBIS, wanna collaborate with",,org,"Ontology relation filled for forest science, ecological monitoring, habitat connectivity, network weaving, policy advocacy, forest/bioeconomy value chains and landscape mapping.","Ops in Europe, international",regional,,,"International organisation established by European States in 1993, headquartered in Joensuu, Finland, with offices in Barcelona, Bonn, Brussels, Rome, and Malaysia. Has 30 member countries and ~130 member organisations from 41 countries. Conducts interdisciplinary research and provides science-to-policy support on forest-related issues across three programmes: Bioeconomy, Governance, and Resilience. Its Barcelona office — hosted at the Sant Pau Art Nouveau Site — is home to the Mediterranean Facility (EFIMED), the Genetic Resources Facility (EFIGEN), and the International Partnerships Facility. EFIMED specifically focuses on improving the resilience of Mediterranean forested landscapes through research, policy advice, and networking, and runs the Mediterranean Forest Research Agenda 2030, a biennial Mediterranean Forest Week, a Young Leadership Programme, and the MedForest open-access knowledge platform. Also hosts the EFI Bioregions Facility, which supports bioregion-scale forest governance and landscape approaches across Europe. Strong overlap with the bioregional and Mediterranean ecosystem research agenda.",,,,,https://www.linkedin.com/company/european-forest-institute,"Bioeconomy, Bioregionalism, Regeneration",Registered,"Formal_Scientific_Process (https://app.notion.com/p/Formal_Scientific_Process-3331441510e181298bb3ee02c9dad9da?pvs=21), Ecological_Monitoring (https://app.notion.com/p/Ecological_Monitoring-3331441510e1816ba8f8c71a168a276e?pvs=21), Habitat_Connectivity (https://app.notion.com/p/Habitat_Connectivity-3331441510e18102979cd784e7b26d42?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Geographic_and_Ecological_Mapping (https://app.notion.com/p/Geographic_and_Ecological_Mapping-3331441510e1813bbf09e5818bc0fae6?pvs=21)",forests; Mediterranean forests; forest resilience; bioeconomy; forest governance; genetic resources; bioregions; landscape approaches; science-policy,,,efimed@efi.int,"Global headquarters in Finland; Barcelona office (Barcelonès, Mediterranean Coastal) hosts Mediterranean and genetic resources work. Bioregionalism, regeneration. Formal scientific research on forest ecosystems and global change; ecological and territorial monitoring; knowledge production and policy-relevant publications; network weaving across researchers, practitioners, and policymakers; political advocacy at EU level on forest policy and nature restoration; habitat connectivity and landscape-scale forest resilience. The EFIMED and Bioregions Facility are directly relevant to the bioregional knowledge base and Mediterranean ecosystem context.",https://efi.int/,
Justina,,,ind,,,,,,,,,,,,,,,,,,,,,
Júlia,,,ind,,,,,,,,,,,,,,,,,,,,,
